team,seasons,mean_wins_above_expected,total_wins_above_expected,std_wins_above_expected,playoff_appearances,mean_wae_in_playoff_seasons,total_wae_in_playoff_seasons
Oakland Athletics,26,7.593246429248075,197.42440716044996,11.9373074992611,11,18.25067910648904,200.75747017137945
Los Angeles Dodgers,26,6.777110198187391,176.20486515287217,9.711315965016787,17,11.250841024619671,191.2642974185344
Cleveland Guardians,26,6.602322031722475,171.66037282478436,10.850252347567194,10,14.183499742098686,141.83499742098687
Tampa Bay Rays,26,6.381201556751764,165.91124047554587,13.110524251431103,9,19.56689266980762,176.10203402826858
Atlanta Braves,26,5.3679262824288525,139.56608334315015,8.88241667791043,16,10.600045438226697,169.60072701162716
St. Louis Cardinals,26,5.1510030792373565,133.92608006017127,8.027928588346754,16,8.636690799638245,138.18705279421192
New York Yankees,26,3.4441380223276243,89.54758858051824,7.920755175251868,21,6.123387089167682,128.59112887252132
Houston Astros,26,2.738860968502417,71.21038518106283,12.842806911508703,12,12.179017938408998,146.148215260908
Boston Red Sox,26,2.364257456628008,61.47069387232821,8.768105329882511,12,9.097980389178177,109.17576467013814
Milwaukee Brewers,26,1.9701565112251556,51.22406929185404,9.478125800989769,9,10.313639789229676,92.82275810306709
Toronto Blue Jays,26,1.5403936391293256,40.05023461736246,8.632484823944587,6,6.688921189263522,40.13352713558113
Minnesota Twins,26,1.3157979636725607,34.21074705548658,10.960113771965716,10,11.021289013161077,110.21289013161078
San Francisco Giants,26,-0.5405090498631461,-14.053235296441798,10.475582342659076,8,10.560435904287349,84.48348723429879
Arizona Diamondbacks,26,-0.7531231752924441,-19.581202557603547,10.38771309427921,6,8.254415804792274,49.52649482875364
Miami Marlins,26,-0.802507113445084,-20.865184949572182,8.169497991675678,3,2.494037263762285,7.482111791286854
Chicago Cubs,26,-0.960533978567519,-24.973883442755493,11.406480836980892,9,9.660978666115058,86.94880799503552
San Diego Padres,26,-1.2019115096399047,-31.24969925063752,9.162517829370863,6,5.263800142404979,31.582800854429877
Philadelphia Phillies,26,-1.3285937503472445,-34.54343750902836,9.801497056281596,9,6.638096708346684,59.74287037512016
Seattle Mariners,26,-1.6542907653081018,-43.011559898010645,11.917491645938176,4,13.985232506842635,55.94093002737054
Los Angeles Angels,26,-2.4990693070197283,-64.97580198251293,9.728849145569576,7,8.952306953664593,62.66614867565215
Chicago White Sox,26,-2.5119352370520738,-65.31031616335392,12.099673926857609,5,11.957490738481685,59.78745369240842
Texas Rangers,26,-2.771804347723752,-72.06691304081755,11.275664309343234,6,8.49304832675496,50.95828996052977
Washington Nationals,26,-2.8065645437725064,-72.97067813808516,11.117029717998491,5,12.471657057437417,62.35828528718709
Cincinnati Reds,26,-2.843436610478441,-73.92935187243947,8.171960806441913,5,7.446310060167415,37.23155030083707
Pittsburgh Pirates,26,-3.6017589124113245,-93.64573172269444,7.443587306421188,3,9.295404691265196,27.886214073795585
New York Mets,26,-3.6391814674496965,-94.61871815369211,7.817383942833548,6,5.615196447091414,33.69117868254848
Baltimore Orioles,26,-5.259445406161647,-136.74558056020282,12.117062561304529,5,9.889808491624635,49.449042458123174
Kansas City Royals,26,-5.7130982225294185,-148.54055378576487,8.813466959005762,3,8.457272113786436,25.371816341359306
Detroit Tigers,26,-5.961259165801646,-154.9927383108428,12.615475071545934,7,7.90287809600236,55.32014667201652
Colorado Rockies,26,-6.3973915761972995,-166.3321809811298,11.739906454722174,4,8.234374690326856,32.937498761307424
