season,team,opening_day_payroll_usd,source,notes
2000,Arizona Diamondbacks,81027833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Atlanta Braves,84537836,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Baltimore Orioles,81447435,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Boston Red Sox,77940333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Chicago Cubs,60539333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Chicago White Sox,31133500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Cincinnati Reds,46867200,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Cleveland Guardians,75880871,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Colorado Rockies,61111190,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Detroit Tigers,58265167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Houston Astros,51289111,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Kansas City Royals,23433000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Los Angeles Angels,51464167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Los Angeles Dodgers,88124286,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Miami Marlins,20072000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Milwaukee Brewers,36505333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Minnesota Twins,16519500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,New York Mets,79509776,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,New York Yankees,92538260,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Oakland Athletics,31971333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Philadelphia Phillies,47308000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Pittsburgh Pirates,28928333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,San Diego Padres,54821000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,San Francisco Giants,53737826,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Seattle Mariners,58915000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,St. Louis Cardinals,61453863,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Tampa Bay Rays,62765129,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Texas Rangers,70795921,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Toronto Blue Jays,46238333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2000,Washington Nationals,34807833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Arizona Diamondbacks,81206513,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Atlanta Braves,91851687,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Baltimore Orioles,72426328,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Boston Red Sox,109558908,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Chicago Cubs,64015833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Chicago White Sox,62363000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Cincinnati Reds,45227882,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Cleveland Guardians,91974979,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Colorado Rockies,71068000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Detroit Tigers,49831167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Houston Astros,60382667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Kansas City Royals,35643000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Los Angeles Angels,46568180,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Los Angeles Dodgers,108980952,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Miami Marlins,35504167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Milwaukee Brewers,43089333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,Minnesota Twins,24350000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,New York Mets,93174428,stevetheump.com (compiled from AP / Spotrac / Cot's),
2001,New York Yankees,109791893,stevetheump.com (compiled from AP / Spotrac / Cot's),
