season,team
2000,Atlanta Braves
2000,Chicago White Sox
2000,New York Mets
2000,New York Yankees
2000,Oakland Athletics
2000,San Francisco Giants
2000,Seattle Mariners
2000,St. Louis Cardinals
2001,Arizona Diamondbacks
2001,Atlanta Braves
2001,Cleveland Guardians
2001,Houston Astros
2001,New York Yankees
2001,Oakland Athletics
2001,Seattle Mariners
2001,St. Louis Cardinals
2002,Arizona Diamondbacks
2002,Atlanta Braves
2002,Los Angeles Angels
2002,Minnesota Twins
2002,New York Yankees
2002,Oakland Athletics
2002,San Francisco Giants
2002,St. Louis Cardinals
2003,Atlanta Braves
2003,Boston Red Sox
2003,Chicago Cubs
2003,Miami Marlins
2003,Minnesota Twins
2003,New York Yankees
2003,Oakland Athletics
2003,San Francisco Giants
2004,Atlanta Braves
2004,Boston Red Sox
2004,Houston Astros
2004,Los Angeles Angels
2004,Los Angeles Dodgers
2004,Minnesota Twins
2004,New York Yankees
2004,St. Louis Cardinals
2005,Atlanta Braves
2005,Boston Red Sox
2005,Chicago White Sox
2005,Houston Astros
2005,Los Angeles Angels
2005,New York Yankees
2005,San Diego Padres
2005,St. Louis Cardinals
2006,Detroit Tigers
2006,Los Angeles Dodgers
2006,Minnesota Twins
2006,New York Mets
2006,New York Yankees
2006,Oakland Athletics
2006,San Diego Padres
2006,St. Louis Cardinals
2007,Arizona Diamondbacks
2007,Boston Red Sox
2007,Chicago Cubs
2007,Cleveland Guardians
2007,Colorado Rockies
2007,Los Angeles Angels
2007,New York Yankees
2007,Philadelphia Phillies
2008,Boston Red Sox
2008,Chicago Cubs
2008,Chicago White Sox
2008,Los Angeles Angels
2008,Los Angeles Dodgers
2008,Milwaukee Brewers
2008,Philadelphia Phillies
2008,Tampa Bay Rays
2009,Boston Red Sox
2009,Colorado Rockies
2009,Los Angeles Angels
2009,Los Angeles Dodgers
2009,Minnesota Twins
2009,New York Yankees
2009,Philadelphia Phillies
2009,St. Louis Cardinals
2010,Atlanta Braves
2010,Cincinnati Reds
2010,Minnesota Twins
2010,New York Yankees
2010,Philadelphia Phillies
2010,San Francisco Giants
2010,Tampa Bay Rays
2010,Texas Rangers
2011,Arizona Diamondbacks
2011,Detroit Tigers
2011,Milwaukee Brewers
2011,New York Yankees
2011,Philadelphia Phillies
2011,St. Louis Cardinals
2011,Tampa Bay Rays
2011,Texas Rangers
2012,Atlanta Braves
2012,Baltimore Orioles
2012,Cincinnati Reds
