team,total_payroll_usd,total_prorated_wins,seasons,cumulative_dollars_per_win
Tampa Bay Rays,1489905625,2104.0,26,708130.049904943
Oakland Athletics,1596418303,2167.2,26,736627.1239387229
Miami Marlins,1480750901,1962.7,26,754445.8658990166
Pittsburgh Pirates,1495034434,1870.3,26,799355.4157087099
Cleveland Guardians,1971405536,2193.5,26,898748.8196945521
Milwaukee Brewers,2062127583,2106.3,26,979028.4304230165
Kansas City Royals,1950879595,1863.2,26,1047058.6061614427
Minnesota Twins,2296980110,2115.2,26,1085939.9158472014
Cincinnati Reds,2219062593,1996.7,26,1111365.0488305704
Arizona Diamondbacks,2311631663,2044.5,26,1130658.6759598923
Baltimore Orioles,2204136082,1922.5,26,1146494.711053316
San Diego Padres,2404530898,2040.9,26,1178171.834974766
Washington Nationals,2475175450,1988.2,26,1244932.8286892667
Seattle Mariners,2634385558,2110.9,26,1247991.6424274007
Chicago White Sox,2575186100,2030.5,26,1268252.2038906673
Colorado Rockies,2426845874,1896.2,26,1279846.996097458
St. Louis Cardinals,2961764444,2308.0,26,1283260.157712305
Houston Astros,2813699565,2165.3,26,1299450.2216782894
Atlanta Braves,2998170427,2287.5,26,1310675.5965027323
Toronto Blue Jays,2839524817,2125.4,26,1335995.4912016562
Texas Rangers,2950892722,2055.4,26,1435678.0782329473
Detroit Tigers,2832114168,1967.1,26,1439740.8204971787
San Francisco Giants,3252715230,2182.3,26,1490498.66196215
Chicago Cubs,3306264827,2118.8,26,1560442.1498017744
Los Angeles Angels,3432360651,2150.2,26,1596298.3215514838
Philadelphia Phillies,3543169295,2162.6,26,1638384.0261722002
Boston Red Sox,3998201017,2274.8,26,1757605.5112537364
Los Angeles Dodgers,4278349655,2405.1,26,1778865.6001829447
New York Mets,3755198996,2103.2,26,1785469.2829973376
New York Yankees,5192576193,2436.1,26,2131511.9219243876
