season,slope_pyth_wins_per_log_dollarM,intercept,r2
2000,7.094060214990803,53.06076726789287,0.11233990938083482
2001,7.6274497530690875,49.81984019161905,0.06748832976045005
2002,19.9672521419809,-1.6735403250848926,0.27365203793851767
2003,12.7769795269294,27.619536599990933,0.1805262264658335
2004,13.832812922549069,23.823426835897056,0.27740823103048284
2005,11.594637541706799,32.47290883422418,0.20537566198146517
2006,8.557331406082115,44.564643713131936,0.18130460068806553
2007,11.50800724859637,31.19764314584455,0.29027388332478943
2008,8.168920142486993,45.07156518163882,0.13383535128936008
2009,13.070029276509132,23.218136598970027,0.22042848960009864
2010,8.804069077670725,41.99239421827767,0.08836758033279613
2011,8.513660648367736,43.12907411938191,0.120340607690134
2012,7.34731007306672,47.92149178652092,0.05510261719805831
2013,9.796317604982,36.53927298983262,0.14720013976618362
2014,4.638764060124486,59.38000307559121,0.03847898149218831
2015,3.6493716157424507,63.69456014211895,0.013630017664171823
2016,13.365847610515502,17.663580095182617,0.15280911033256617
2017,10.022243931850715,32.27812468080874,0.07467232149678948
2018,12.97230399247375,17.769421613680404,0.07784999229146783
2019,17.881220436115427,-4.171075184023483,0.18071121499226817
2020,11.970090193923397,24.376856402915745,0.1309632277720888
2021,13.368243847526022,18.60117886637826,0.20586951784452934
2022,14.129404129863516,13.958860956594426,0.3029811519274327
2023,9.223246427864726,35.87553914092969,0.11938100436498511
2024,9.801173019914083,32.67110294673215,0.13100458421528804
2025,11.04842919802905,26.720544508798977,0.21052750937215303
