season,team,wins,losses,games,prorated_wins,runs_scored,runs_allowed
2000,Arizona Diamondbacks,85,77,162,85.0,792,754
2000,Atlanta Braves,95,67,162,95.0,810,714
2000,Baltimore Orioles,74,88,162,74.0,794,913
2000,Boston Red Sox,85,77,162,85.0,792,745
2000,Chicago Cubs,65,97,162,65.0,764,904
2000,Chicago White Sox,95,67,162,95.0,978,839
2000,Cincinnati Reds,85,77,162,85.0,825,765
2000,Cleveland Guardians,90,72,162,90.0,950,816
2000,Colorado Rockies,82,80,162,82.0,968,897
2000,Detroit Tigers,79,83,162,79.0,823,827
2000,Houston Astros,72,90,162,72.0,938,944
2000,Kansas City Royals,77,85,162,77.0,879,930
2000,Los Angeles Angels,82,80,162,82.0,864,869
2000,Los Angeles Dodgers,86,76,162,86.0,798,729
2000,Miami Marlins,79,82,161,79.0,731,797
2000,Milwaukee Brewers,73,89,162,73.0,740,826
2000,Minnesota Twins,69,93,162,69.0,748,880
2000,New York Mets,94,68,162,94.0,807,738
2000,New York Yankees,87,74,161,87.0,871,814
2000,Oakland Athletics,91,70,161,91.0,947,813
2000,Philadelphia Phillies,65,97,162,65.0,708,830
2000,Pittsburgh Pirates,69,93,162,69.0,793,888
2000,San Diego Padres,76,86,162,76.0,752,815
2000,San Francisco Giants,97,65,162,97.0,925,747
2000,Seattle Mariners,91,71,162,91.0,907,780
2000,St. Louis Cardinals,95,67,162,95.0,887,771
2000,Tampa Bay Rays,69,92,161,69.0,733,842
2000,Texas Rangers,71,91,162,71.0,848,974
2000,Toronto Blue Jays,83,79,162,83.0,861,908
2000,Washington Nationals,67,95,162,67.0,738,902
2001,Arizona Diamondbacks,92,70,162,92.0,818,677
2001,Atlanta Braves,88,74,162,88.0,729,643
2001,Baltimore Orioles,63,98,161,63.0,687,829
2001,Boston Red Sox,82,79,161,82.0,772,745
2001,Chicago Cubs,88,74,162,88.0,777,701
2001,Chicago White Sox,83,79,162,83.0,798,795
2001,Cincinnati Reds,66,96,162,66.0,735,850
2001,Cleveland Guardians,91,71,162,91.0,897,821
2001,Colorado Rockies,73,89,162,73.0,923,906
2001,Detroit Tigers,66,96,162,66.0,724,876
2001,Houston Astros,93,69,162,93.0,847,769
2001,Kansas City Royals,65,97,162,65.0,729,858
2001,Los Angeles Angels,75,87,162,75.0,691,730
2001,Los Angeles Dodgers,86,76,162,86.0,758,744
2001,Miami Marlins,76,86,162,76.0,742,744
2001,Milwaukee Brewers,68,94,162,68.0,740,806
2001,Minnesota Twins,85,77,162,85.0,771,766
2001,New York Mets,82,80,162,82.0,642,713
2001,New York Yankees,95,65,160,95.0,804,713
2001,Oakland Athletics,102,60,162,102.0,884,645
2001,Philadelphia Phillies,86,76,162,86.0,746,719
2001,Pittsburgh Pirates,62,100,162,62.0,657,858
2001,San Diego Padres,79,83,162,79.0,789,812
2001,San Francisco Giants,90,72,162,90.0,799,748
2001,Seattle Mariners,116,46,162,116.0,927,627
2001,St. Louis Cardinals,93,69,162,93.0,814,684
2001,Tampa Bay Rays,62,100,162,62.0,672,887
2001,Texas Rangers,73,89,162,73.0,890,968
2001,Toronto Blue Jays,80,82,162,80.0,767,753
2001,Washington Nationals,68,94,162,68.0,670,812
2002,Arizona Diamondbacks,98,64,162,98.0,819,674
2002,Atlanta Braves,101,59,160,101.0,708,565
2002,Baltimore Orioles,67,95,162,67.0,667,773
2002,Boston Red Sox,93,69,162,93.0,859,665
2002,Chicago Cubs,67,95,162,67.0,706,759
2002,Chicago White Sox,81,81,162,81.0,856,798
2002,Cincinnati Reds,78,84,162,78.0,709,774
2002,Cleveland Guardians,74,88,162,74.0,739,837
2002,Colorado Rockies,73,89,162,73.0,778,898
2002,Detroit Tigers,55,106,161,55.0,575,864
2002,Houston Astros,84,78,162,84.0,749,695
2002,Kansas City Royals,62,100,162,62.0,737,891
2002,Los Angeles Angels,99,63,162,99.0,851,644
2002,Los Angeles Dodgers,92,70,162,92.0,713,643
2002,Miami Marlins,79,83,162,79.0,699,763
2002,Milwaukee Brewers,56,106,162,56.0,627,821
2002,Minnesota Twins,94,67,161,94.0,768,712
2002,New York Mets,75,86,161,75.0,690,703
2002,New York Yankees,103,58,161,103.0,897,697
2002,Oakland Athletics,103,59,162,103.0,800,654
2002,Philadelphia Phillies,80,81,161,80.0,710,724
2002,Pittsburgh Pirates,72,89,161,72.0,641,730
2002,San Diego Padres,66,96,162,66.0,662,815
2002,San Francisco Giants,95,66,161,95.0,783,616
2002,Seattle Mariners,93,69,162,93.0,814,699
2002,St. Louis Cardinals,97,65,162,97.0,787,648
2002,Tampa Bay Rays,55,106,161,55.0,673,918
2002,Texas Rangers,72,90,162,72.0,843,882
2002,Toronto Blue Jays,78,84,162,78.0,813,828
2002,Washington Nationals,83,79,162,83.0,735,718
2003,Arizona Diamondbacks,84,78,162,84.0,717,685
2003,Atlanta Braves,101,61,162,101.0,907,740
2003,Baltimore Orioles,71,91,162,71.0,743,820
2003,Boston Red Sox,95,67,162,95.0,961,809
2003,Chicago Cubs,88,74,162,88.0,724,683
2003,Chicago White Sox,86,76,162,86.0,791,715
2003,Cincinnati Reds,69,93,162,69.0,694,886
2003,Cleveland Guardians,68,94,162,68.0,699,778
2003,Colorado Rockies,74,88,162,74.0,853,892
2003,Detroit Tigers,43,119,162,43.0,591,928
2003,Houston Astros,87,75,162,87.0,805,677
2003,Kansas City Royals,83,79,162,83.0,836,867
2003,Los Angeles Angels,77,85,162,77.0,736,743
2003,Los Angeles Dodgers,85,77,162,85.0,574,556
2003,Miami Marlins,91,71,162,91.0,751,692
2003,Milwaukee Brewers,68,94,162,68.0,714,873
2003,Minnesota Twins,90,72,162,90.0,801,758
2003,New York Mets,66,95,161,66.0,642,754
2003,New York Yankees,101,61,162,101.0,877,716
2003,Oakland Athletics,96,66,162,96.0,768,643
2003,Philadelphia Phillies,86,76,162,86.0,791,697
2003,Pittsburgh Pirates,75,87,162,75.0,753,801
2003,San Diego Padres,64,98,162,64.0,678,831
2003,San Francisco Giants,100,61,161,100.0,755,638
2003,Seattle Mariners,93,69,162,93.0,795,637
2003,St. Louis Cardinals,85,77,162,85.0,876,796
2003,Tampa Bay Rays,63,99,162,63.0,715,852
2003,Texas Rangers,71,91,162,71.0,826,969
2003,Toronto Blue Jays,86,76,162,86.0,894,826
2003,Washington Nationals,83,79,162,83.0,711,716
2004,Arizona Diamondbacks,51,111,162,51.0,615,899
2004,Atlanta Braves,96,66,162,96.0,803,668
2004,Baltimore Orioles,78,84,162,78.0,842,830
2004,Boston Red Sox,98,64,162,98.0,949,768
2004,Chicago Cubs,89,73,162,89.0,789,665
2004,Chicago White Sox,83,79,162,83.0,865,831
2004,Cincinnati Reds,76,86,162,76.0,750,907
2004,Cleveland Guardians,80,82,162,80.0,858,857
2004,Colorado Rockies,68,94,162,68.0,833,923
2004,Detroit Tigers,72,90,162,72.0,827,844
2004,Houston Astros,92,70,162,92.0,803,698
2004,Kansas City Royals,58,104,162,58.0,720,905
2004,Los Angeles Angels,92,70,162,92.0,836,734
2004,Los Angeles Dodgers,93,69,162,93.0,761,684
2004,Miami Marlins,83,79,162,83.0,718,700
2004,Milwaukee Brewers,67,94,161,67.0,634,757
2004,Minnesota Twins,92,70,162,92.0,780,715
2004,New York Mets,71,91,162,71.0,684,731
2004,New York Yankees,101,61,162,101.0,897,808
2004,Oakland Athletics,91,71,162,91.0,793,742
2004,Philadelphia Phillies,86,76,162,86.0,840,781
2004,Pittsburgh Pirates,72,89,161,72.0,680,744
2004,San Diego Padres,87,75,162,87.0,768,705
2004,San Francisco Giants,91,71,162,91.0,850,770
2004,Seattle Mariners,63,99,162,63.0,698,823
