season,team
2000,New York Yankees
2001,Arizona Diamondbacks
2002,Los Angeles Angels
2003,Miami Marlins
2004,Boston Red Sox
2005,Chicago White Sox
2006,St. Louis Cardinals
2007,Boston Red Sox
2008,Philadelphia Phillies
2009,New York Yankees
2010,San Francisco Giants
2011,St. Louis Cardinals
2012,San Francisco Giants
2013,Boston Red Sox
2014,San Francisco Giants
2015,Kansas City Royals
2016,Chicago Cubs
2017,Houston Astros
2018,Boston Red Sox
2019,Washington Nationals
2020,Los Angeles Dodgers
2021,Atlanta Braves
2022,Houston Astros
2023,Texas Rangers
2024,Los Angeles Dodgers
2025,Los Angeles Dodgers
