team,playoff_appearances,playoff_payroll_usd,playoff_prorated_wins,cumulative_dollars_per_win_in_playoff_seasons
Tampa Bay Rays,9,535217932,865.0,618749.0543352601
Oakland Athletics,11,671570908,1054.2,637043.1682792639
Miami Marlins,3,177986700,258.7,688004.2520293777
Pittsburgh Pirates,3,245945167,280.0,878375.5964285714
Arizona Diamondbacks,6,495755063,551.0,899736.9564428312
Minnesota Twins,10,865855396,923.2,937884.9610051992
Cleveland Guardians,10,876719440,932.5,940181.7050938337
Seattle Mariners,4,365313214,387.0,943961.7932816538
Baltimore Orioles,5,463826388,470.0,986864.6553191489
Chicago White Sox,5,474436831,470.5,1008367.3347502657
Milwaukee Brewers,9,860440444,826.3,1041317.2503933196
Colorado Rockies,4,401928571,360.0,1116468.2527777778
Los Angeles Angels,7,755692822,675.0,1119544.9214814815
Cincinnati Reds,5,508225138,444.7,1142849.4220823026
Kansas City Royals,3,310872565,270.0,1151379.8703703703
San Francisco Giants,8,878911067,760.0,1156461.930263158
St. Louis Cardinals,16,1726988362,1484.0,1163738.7884097034
Atlanta Braves,16,1924091581,1515.5,1269608.4335202903
Texas Rangers,6,738087190,552.0,1337114.4746376812
Detroit Tigers,7,857335058,634.0,1352263.498422713
Washington Nationals,5,711613856,479.0,1485623.9164926931
Houston Astros,12,1692313231,1128.3,1499878.7831250555
Chicago Cubs,9,1262155285,840.8,1501136.1619885825
San Diego Padres,6,832640004,541.9,1536519.6604539584
Boston Red Sox,12,1878113324,1146.0,1638842.3420593368
New York Mets,6,936481509,558.0,1678282.2741935484
Toronto Blue Jays,6,948210281,543.4,1744958.191019507
Philadelphia Phillies,9,1583951921,841.0,1883414.8882282996
New York Yankees,21,4068419716,2012.1,2021976.8977685007
Los Angeles Dodgers,17,3397158739,1655.1,2052539.8700984835
