season,team,opening_day_payroll_usd,wins,prorated_wins,dollars_per_win,made_playoffs
2000,Minnesota Twins,16519500,69,69.0,239413.0434782609,False
2000,Miami Marlins,20072000,79,79.0,254075.9493670886,False
2000,Kansas City Royals,23433000,77,77.0,304324.67532467534,False
2000,Chicago White Sox,31133500,95,95.0,327721.05263157893,True
2000,Oakland Athletics,31971333,91,91.0,351333.3296703297,True
2000,Pittsburgh Pirates,28928333,69,69.0,419251.2028985507,False
2000,Milwaukee Brewers,36505333,73,73.0,500073.05479452055,False
2000,Washington Nationals,34807833,67,67.0,519519.8955223881,False
2000,Cincinnati Reds,46867200,85,85.0,551378.8235294118,False
2000,San Francisco Giants,53737826,97,97.0,553998.206185567,True
2000,Toronto Blue Jays,46238333,83,83.0,557088.3493975904,False
2000,Los Angeles Angels,51464167,82,82.0,627611.7926829269,False
2000,St. Louis Cardinals,61453863,95,95.0,646882.7684210526,True
2000,Seattle Mariners,58915000,91,91.0,647417.5824175824,True
2000,Houston Astros,51289111,72,72.0,712348.7638888889,False
2000,San Diego Padres,54821000,76,76.0,721328.947368421,False
2000,Philadelphia Phillies,47308000,65,65.0,727815.3846153846,False
2000,Detroit Tigers,58265167,79,79.0,737533.7594936709,False
2000,Colorado Rockies,61111190,82,82.0,745258.4146341464,False
2000,Cleveland Guardians,75880871,90,90.0,843120.7888888889,False
2000,New York Mets,79509776,94,94.0,845848.6808510638,True
2000,Atlanta Braves,84537836,95,95.0,889871.9578947368,True
2000,Tampa Bay Rays,62765129,69,69.0,909639.5507246376,False
2000,Boston Red Sox,77940333,85,85.0,916945.094117647,False
2000,Chicago Cubs,60539333,65,65.0,931374.3538461538,False
2000,Arizona Diamondbacks,81027833,85,85.0,953268.6235294116,False
2000,Texas Rangers,70795921,71,71.0,997125.647887324,False
2000,Los Angeles Dodgers,88124286,86,86.0,1024701.0,False
2000,New York Yankees,92538260,87,87.0,1063658.1609195403,True
2000,Baltimore Orioles,81447435,74,74.0,1100641.0135135136,False
2001,Minnesota Twins,24350000,85,85.0,286470.5882352941,False
2001,Oakland Athletics,33810750,102,102.0,331477.9411764706,True
2001,Miami Marlins,35504167,76,76.0,467160.09210526315,False
2001,Philadelphia Phillies,41664167,86,86.0,484467.0581395349,False
2001,San Diego Padres,38333117,79,79.0,485229.32911392406,False
2001,Washington Nationals,34774500,68,68.0,511389.70588235295,False
2001,Kansas City Royals,35643000,65,65.0,548353.8461538461,False
2001,Los Angeles Angels,46568180,75,75.0,620909.0666666667,False
2001,Milwaukee Brewers,43089333,68,68.0,633666.6617647059,False
2001,Houston Astros,60382667,93,93.0,649275.9892473118,True
2001,Seattle Mariners,75652500,116,116.0,652176.724137931,True
2001,Cincinnati Reds,45227882,66,66.0,685270.9393939395,False
2001,San Francisco Giants,63332667,90,90.0,703696.3,False
2001,Chicago Cubs,64015833,88,88.0,727452.6477272727,False
2001,Chicago White Sox,62363000,83,83.0,751361.4457831326,False
2001,Detroit Tigers,49831167,66,66.0,755017.6818181818,False
2001,St. Louis Cardinals,77270855,93,93.0,830869.4086021505,True
2001,Pittsburgh Pirates,52698333,62,62.0,849973.1129032258,False
2001,Arizona Diamondbacks,81206513,92,92.0,882679.4891304348,True
2001,Tampa Bay Rays,54951602,62,62.0,886316.1612903225,False
2001,Toronto Blue Jays,75798500,80,80.0,947481.25,False
2001,Colorado Rockies,71068000,73,73.0,973534.2465753424,False
2001,Cleveland Guardians,91974979,91,91.0,1010714.0549450548,True
2001,Atlanta Braves,91851687,88,88.0,1043769.1704545454,True
2001,New York Mets,93174428,82,82.0,1136273.512195122,False
2001,Baltimore Orioles,72426328,63,63.0,1149624.253968254,False
2001,New York Yankees,109791893,95,95.0,1155704.1368421053,True
2001,Texas Rangers,88504421,73,73.0,1212389.3287671234,False
2001,Los Angeles Dodgers,108980952,86,86.0,1267220.3720930233,False
2001,Boston Red Sox,109558908,82,82.0,1336084.243902439,False
2002,Oakland Athletics,39679746,103,103.0,385240.2524271845,True
2002,Minnesota Twins,40225000,94,94.0,427925.5319148936,True
2002,Washington Nationals,38670500,83,83.0,465909.6385542169,False
2002,Miami Marlins,41979917,79,79.0,531391.3544303797,False
2002,Cincinnati Reds,45050390,78,78.0,577569.1025641026,False
2002,Pittsburgh Pirates,42323598,72,72.0,587827.75,False
2002,Los Angeles Angels,61721667,99,99.0,623451.1818181818,True
2002,Tampa Bay Rays,34380000,55,55.0,625090.9090909091,False
2002,San Diego Padres,41425000,66,66.0,627651.5151515151,False
2002,Chicago White Sox,57052833,81,81.0,704355.9629629629,False
2002,Philadelphia Phillies,57955000,80,80.0,724437.5,False
2002,Houston Astros,63448417,84,84.0,755338.2976190476,False
2002,Kansas City Royals,47257000,62,62.0,762209.6774193548,False
2002,St. Louis Cardinals,74098267,97,97.0,763899.6597938144,True
2002,Colorado Rockies,56851043,73,73.0,778781.4109589041,False
2002,San Francisco Giants,78299835,95,95.0,824208.7894736842,True
2002,Seattle Mariners,80282668,93,93.0,863254.4946236559,False
2002,Milwaukee Brewers,50287833,56,56.0,897997.0178571428,False
2002,Baltimore Orioles,60493487,67,67.0,902887.8656716418,False
2002,Atlanta Braves,93470367,101,101.0,925449.1782178218,True
2002,Toronto Blue Jays,76864333,78,78.0,985440.1666666666,False
2002,Detroit Tigers,55048000,55,55.0,1000872.7272727272,False
2002,Los Angeles Dodgers,94850952,92,92.0,1030988.6086956522,False
2002,Arizona Diamondbacks,102820000,98,98.0,1049183.6734693877,True
2002,Cleveland Guardians,78909448,74,74.0,1066343.8918918918,False
2002,Chicago Cubs,75690833,67,67.0,1129713.9253731344,False
2002,Boston Red Sox,108366060,93,93.0,1165226.4516129033,False
2002,New York Yankees,125928583,103,103.0,1222607.6019417476,True
2002,New York Mets,94633593,75,75.0,1261781.24,False
2002,Texas Rangers,105302124,72,72.0,1462529.5,False
2003,Tampa Bay Rays,19630000,63,63.0,311587.3015873016,False
2003,Kansas City Royals,40518000,83,83.0,488168.6746987952,False
2003,Oakland Athletics,50260834,96,96.0,523550.3541666667,True
2003,Miami Marlins,49050000,91,91.0,539010.989010989,True
2003,Chicago White Sox,51010000,86,86.0,593139.5348837209,False
2003,Toronto Blue Jays,51269000,86,86.0,596151.1627906977,False
2003,Milwaukee Brewers,40627000,68,68.0,597455.8823529412,False
2003,Minnesota Twins,55505000,90,90.0,616722.2222222222,True
2003,Washington Nationals,51948500,83,83.0,625885.5421686746,False
2003,Cleveland Guardians,48584834,68,68.0,714482.8529411765,False
2003,Pittsburgh Pirates,54812429,75,75.0,730832.3866666667,False
2003,San Diego Padres,47928000,64,64.0,748875.0,False
2003,Houston Astros,71040000,87,87.0,816551.724137931,False
2003,Philadelphia Phillies,70780000,86,86.0,823023.2558139535,False
2003,San Francisco Giants,82852167,100,100.0,828521.67,True
2003,Cincinnati Reds,59355667,69,69.0,860227.0579710145,False
2003,Chicago Cubs,79868333,88,88.0,907594.6931818182,True
2003,Colorado Rockies,67179667,74,74.0,907833.337837838,False
2003,Seattle Mariners,86959167,93,93.0,935044.8064516129,False
2003,Arizona Diamondbacks,80640333,84,84.0,960003.9642857144,False
2003,St. Louis Cardinals,83486666,85,85.0,982196.0705882352,False
2003,Los Angeles Angels,79031667,77,77.0,1026385.2857142856,False
2003,Baltimore Orioles,73877500,71,71.0,1040528.1690140844,False
2003,Atlanta Braves,106243667,101,101.0,1051917.495049505,True
2003,Boston Red Sox,99946500,95,95.0,1052068.4210526317,True
2003,Detroit Tigers,49168000,43,43.0,1143441.8604651163,False
2003,Los Angeles Dodgers,105872620,85,85.0,1245560.2352941176,False
2003,Texas Rangers,103491667,71,71.0,1457629.1126760563,False
2003,New York Yankees,152749814,101,101.0,1512374.396039604,True
2003,New York Mets,117176429,66,66.0,1775400.4393939397,False
2004,Milwaukee Brewers,27518500,67,67.0,410723.8805970149,False
2004,Tampa Bay Rays,29506667,70,70.0,421523.8142857143,False
2004,Cleveland Guardians,34569300,80,80.0,432116.25,False
2004,Pittsburgh Pirates,32227929,72,72.0,447610.125,False
2004,Miami Marlins,42118042,83,83.0,507446.2891566265,False
2004,Cincinnati Reds,43067858,76,76.0,566682.3421052631,False
2004,Minnesota Twins,53585000,92,92.0,582445.6521739131,True
2004,Texas Rangers,54825973,89,89.0,616022.1685393258,False
2004,San Diego Padres,54639503,87,87.0,628040.264367816,False
2004,Detroit Tigers,46353554,72,72.0,643799.3611111111,False
2004,Washington Nationals,43197500,67,67.0,644738.8059701492,False
2004,Baltimore Orioles,51212653,78,78.0,656572.4743589744,False
2004,Oakland Athletics,59825167,91,91.0,657419.4175824176,False
2004,St. Louis Cardinals,75633517,105,105.0,720319.2095238095,True
2004,Toronto Blue Jays,50017000,67,67.0,746522.3880597015,False
2004,Chicago White Sox,65212500,83,83.0,785692.7710843374,False
2004,Houston Astros,74666303,92,92.0,811590.25,True
2004,Kansas City Royals,47609000,58,58.0,820844.8275862068,False
2004,San Francisco Giants,82019167,91,91.0,901309.5274725276,False
2004,Atlanta Braves,88507788,96,96.0,921956.125,True
2004,Colorado Rockies,64590403,68,68.0,949858.8676470588,False
2004,Los Angeles Dodgers,89694342,93,93.0,964455.2903225806,True
2004,Chicago Cubs,91101667,89,89.0,1023614.2359550562,False
2004,Philadelphia Phillies,93219167,86,86.0,1083943.8023255814,False
2004,Los Angeles Angels,101084667,92,92.0,1098746.3804347827,True
2004,Boston Red Sox,125208542,98,98.0,1277638.1836734691,True
2004,Seattle Mariners,81543833,63,63.0,1294346.5555555555,False
2004,Arizona Diamondbacks,70204984,51,51.0,1376568.31372549,False
2004,New York Mets,100629303,71,71.0,1417314.126760563,False
2004,New York Yankees,182835513,101,101.0,1810252.603960396,True
2005,Tampa Bay Rays,29893567,67,67.0,446172.6417910448,False
2005,Cleveland Guardians,41830400,93,93.0,449789.247311828,False
2005,Milwaukee Brewers,40234833,81,81.0,496726.3333333333,False
2005,Toronto Blue Jays,45336500,80,80.0,566706.25,False
2005,Pittsburgh Pirates,38138000,67,67.0,569223.8805970149,False
2005,Washington Nationals,48581500,81,81.0,599771.6049382716,False
2005,Oakland Athletics,55869262,88,88.0,634877.9772727273,False
2005,Kansas City Royals,36881000,56,56.0,658589.2857142857,False
2005,Minnesota Twins,56615000,83,83.0,682108.4337349398,False
2005,Texas Rangers,55307258,79,79.0,700091.8734177215,False
2005,Colorado Rockies,47789000,67,67.0,713268.6567164179,False
2005,Miami Marlins,60375961,83,83.0,727421.2168674698,False
2005,Chicago White Sox,75228000,99,99.0,759878.7878787878,True
2005,San Diego Padres,62888192,82,82.0,766929.1707317074,True
2005,Cincinnati Reds,59658275,73,73.0,817236.6438356164,False
2005,Arizona Diamondbacks,63015834,77,77.0,818387.4545454546,False
2005,Houston Astros,76779022,89,89.0,862685.6404494382,True
2005,St. Louis Cardinals,93319842,100,100.0,933198.42,True
2005,Atlanta Braves,85148582,90,90.0,946095.3555555556,True
2005,Detroit Tigers,68998183,71,71.0,971805.3943661972,False
2005,Los Angeles Angels,95017822,95,95.0,1000187.6,True
2005,Baltimore Orioles,74570539,74,74.0,1007709.9864864864,False
2005,Philadelphia Phillies,95337908,88,88.0,1083385.318181818,False
2005,Chicago Cubs,87210933,79,79.0,1103935.8607594937,False
2005,Los Angeles Dodgers,81029500,71,71.0,1141260.5633802817,False
2005,San Francisco Giants,89487842,75,75.0,1193171.2266666666,False
2005,Seattle Mariners,85883333,69,69.0,1244685.9855072463,False
2005,New York Mets,104770139,83,83.0,1262290.8313253012,False
2005,Boston Red Sox,121311945,95,95.0,1276967.8421052631,True
2005,New York Yankees,205938439,95,95.0,2167773.042105263,True
2006,Miami Marlins,14998500,78,78.0,192288.46153846153,False
2006,Colorado Rockies,41233000,76,76.0,542539.4736842106,False
2006,Tampa Bay Rays,35417967,61,61.0,580622.4098360656,False
2006,Minnesota Twins,63396006,96,96.0,660375.0625,True
2006,Oakland Athletics,62243079,93,93.0,669280.4193548387,True
