season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2000,Minnesota Twins,16519500,69,69.0,748,880,0.4218580683978258,68.34100708044778,239413.04347826086
2000,Miami Marlins,20072000,79,79.0,731,797,0.45886961414659383,74.3368774917482,254075.94936708861
2000,Kansas City Royals,23433000,77,77.0,879,930,0.4718478730276797,76.43935543048411,304324.67532467534
2000,Chicago White Sox,31133500,95,95.0,978,839,0.5761019016185507,93.32850806220522,327721.05263157893
2000,Oakland Athletics,31971333,91,91.0,947,813,0.5751968503789275,93.18188976138626,351333.3296703297
2000,Pittsburgh Pirates,28928333,69,69.0,793,888,0.4448651223316451,72.0681498177265,419251.2028985507
2000,Milwaukee Brewers,36505333,73,73.0,740,826,0.4474849654940532,72.49256441003662,500073.05479452055
2000,Washington Nationals,34807833,67,67.0,738,902,0.40372838480088485,65.40399833774335,519519.89552238805
2000,Cincinnati Reds,46867200,85,85.0,825,765,0.5362941013427049,86.87964441751821,551378.8235294118
2000,San Francisco Giants,53737826,97,97.0,925,747,0.6029180299705305,97.67272085522593,553998.206185567
2000,Toronto Blue Jays,46238333,83,83.0,861,908,0.47363629942869756,76.729080507449,557088.3493975904
2000,Los Angeles Angels,51464167,82,82.0,864,869,0.49715198460595134,80.53862150616412,627611.7926829269
2000,St. Louis Cardinals,61453863,95,95.0,887,771,0.5678818561685215,91.99686069930048,646882.7684210526
2000,Seattle Mariners,58915000,91,91.0,907,780,0.5733478830734456,92.88235705789819,647417.5824175824
2000,Houston Astros,51289111,72,72.0,938,944,0.49677758021418206,80.4779679946975,712348.7638888889
2000,San Diego Padres,54821000,76,76.0,752,815,0.4614992533784886,74.76287904731515,721328.947368421
2000,Philadelphia Phillies,47308000,65,65.0,708,830,0.4247509471613013,68.80965344013082,727815.3846153846
2000,Detroit Tigers,58265167,79,79.0,823,827,0.4976404414352755,80.61775151251463,737533.7594936709
2000,Colorado Rockies,61111190,82,82.0,968,897,0.5383231199683872,87.20834543487872,745258.4146341464
2000,Cleveland Guardians,75880871,90,90.0,950,816,0.5748851899085899,93.13140076519157,843120.7888888889
2000,New York Mets,79509776,94,94.0,807,738,0.5425812124803345,87.89815642181419,845848.6808510638
2000,Atlanta Braves,84537836,95,95.0,810,714,0.5597226809447262,90.67507431304564,889871.9578947368
2000,Tampa Bay Rays,62765129,69,69.0,733,842,0.43370109585839745,70.25957752906038,909639.5507246377
2000,Boston Red Sox,77940333,85,85.0,792,745,0.5291394665887575,85.72059358737872,916945.094117647
2000,Chicago Cubs,60539333,65,65.0,764,904,0.4185892513868572,67.81145872467087,931374.3538461538
2000,Arizona Diamondbacks,81027833,85,85.0,792,754,0.5234684645467683,84.80189125657647,953268.6235294117
2000,Texas Rangers,70795921,71,71.0,848,974,0.43107783527954147,69.83460931528572,997125.647887324
2000,Los Angeles Dodgers,88124286,86,86.0,798,729,0.5429374161725421,87.95586141995182,1024701.0
2000,New York Yankees,92538260,87,87.0,871,814,0.5331473175072651,86.36986543617694,1063658.1609195403
2000,Baltimore Orioles,81447435,74,74.0,794,913,0.4317986041991966,69.95137388026984,1100641.0135135136
2001,Minnesota Twins,24350000,85,85.0,771,766,0.5031024635676574,81.5025990979605,286470.5882352941
2001,Oakland Athletics,33810750,102,102.0,884,645,0.6457316735945547,104.60853112231787,331477.9411764706
2001,Miami Marlins,35504167,76,76.0,742,744,0.4987287847149211,80.79406312381722,467160.09210526315
2001,Philadelphia Phillies,41664167,86,86.0,746,719,0.5173314892893044,83.8077012648673,484467.0581395349
2001,San Diego Padres,38333117,79,79.0,789,812,0.48614027473866867,78.75472450766432,485229.32911392406
2001,Washington Nationals,34774500,68,68.0,670,812,0.41027387806082843,66.4643682458542,511389.70588235295
2001,Kansas City Royals,35643000,65,65.0,729,858,0.4222255612891185,68.40054092883719,548353.8461538461
2001,Los Angeles Angels,46568180,75,75.0,691,730,0.4744239135634775,76.85667399728335,620909.0666666667
2001,Milwaukee Brewers,43089333,68,68.0,740,806,0.45928278918882903,74.40381184859031,633666.6617647059
2001,Houston Astros,60382667,93,93.0,847,769,0.5466004883885068,88.5492791189381,649275.9892473118
2001,Seattle Mariners,75652500,116,116.0,927,627,0.6787797839023304,109.96232499217753,652176.724137931
2001,Cincinnati Reds,45227882,66,66.0,735,850,0.4305198232916129,69.7442113732413,685270.9393939395
2001,San Francisco Giants,63332667,90,90.0,799,748,0.5314692034666385,86.09801096159543,703696.3
2001,Chicago Cubs,64015833,88,88.0,777,701,0.5483834732310757,88.83812266343426,727452.6477272727
2001,Chicago White Sox,62363000,83,83.0,798,795,0.501814592904933,81.29396405059914,751361.4457831326
2001,Detroit Tigers,49831167,66,66.0,724,876,0.4090921432382387,66.27292720459468,755017.6818181818
2001,St. Louis Cardinals,77270855,93,93.0,814,684,0.5816268263388606,94.22354586689542,830869.4086021505
2001,Pittsburgh Pirates,52698333,62,62.0,657,858,0.3758913329964524,60.89439594542529,849973.1129032258
2001,Arizona Diamondbacks,81206513,92,92.0,818,677,0.5885579621137431,95.34638986242638,882679.4891304348
2001,Tampa Bay Rays,54951602,62,62.0,672,887,0.37013533882278493,59.96192488929116,886316.1612903225
2001,Toronto Blue Jays,75798500,80,80.0,767,753,0.5087554936667639,82.41838997401575,947481.25
2001,Colorado Rockies,71068000,73,73.0,923,906,0.5093173406528109,82.50940918575536,973534.2465753425
2001,Cleveland Guardians,91974979,91,91.0,897,821,0.5434777046740916,88.04338815720284,1010714.0549450549
2001,Atlanta Braves,91851687,88,88.0,729,643,0.5576814416932349,90.34439355430405,1043769.1704545454
2001,New York Mets,93174428,82,82.0,642,713,0.4519074214281395,73.2090022713586,1136273.512195122
2001,Baltimore Orioles,72426328,63,63.0,687,829,0.4115410135281218,66.66964419155573,1149624.253968254
2001,New York Yankees,109791893,95,95.0,804,713,0.5570183586108456,90.23697409495699,1155704.1368421053
2001,Texas Rangers,88504421,73,73.0,890,968,0.4577987745626389,74.1634014791475,1212389.3287671234
2001,Los Angeles Dodgers,108980952,86,86.0,758,744,0.5088301684785269,82.43048729352137,1267220.3720930233
2001,Boston Red Sox,109558908,82,82.0,772,745,0.5169360338855576,83.74363748946034,1336084.243902439
2002,Oakland Athletics,39679746,103,103.0,800,654,0.593457410706043,96.14010053437896,385240.2524271845
2002,Minnesota Twins,40225000,94,94.0,768,712,0.5357165467518901,86.78608057380619,427925.5319148936
2002,Washington Nationals,38670500,83,83.0,735,718,0.5109784933789971,82.77851592739754,465909.6385542169
2002,Miami Marlins,41979917,79,79.0,699,763,0.4589125763198514,74.34383736381592,531391.3544303797
2002,Cincinnati Reds,45050390,78,78.0,709,774,0.4586936980214009,74.30837907946695,577569.1025641026
2002,Pittsburgh Pirates,42323598,72,72.0,641,730,0.44018369008316616,71.30975779347291,587827.75
2002,Los Angeles Angels,61721667,99,99.0,851,644,0.6288790334342081,101.87840341634173,623451.1818181818
2002,Tampa Bay Rays,34380000,55,55.0,673,918,0.3545447198421662,57.43624461443092,625090.9090909091
2002,San Diego Padres,41425000,66,66.0,662,815,0.40321487785094384,65.3208102118529,627651.5151515151
2002,Chicago White Sox,57052833,81,81.0,856,798,0.5341156900962828,86.52674179559781,704355.9629629629
2002,Philadelphia Phillies,57955000,80,80.0,710,724,0.49085708136038375,79.51884718038217,724437.5
2002,Houston Astros,63448417,84,84.0,749,695,0.5349907809194104,86.66850650894449,755338.2976190476
2002,Kansas City Royals,47257000,62,62.0,737,891,0.4090319734552646,66.26317969975287,762209.6774193548
2002,St. Louis Cardinals,74098267,97,97.0,787,648,0.5898748671546858,95.5597284790591,763899.6597938144
2002,Colorado Rockies,56851043,73,73.0,778,898,0.4303337360254975,69.7140652361306,778781.4109589041
2002,San Francisco Giants,78299835,95,95.0,783,616,0.6097269391535435,98.77576414287404,824208.7894736842
2002,Seattle Mariners,80282668,93,93.0,814,699,0.5718022282116462,92.63196097028668,863254.4946236559
2002,Milwaukee Brewers,50287833,56,56.0,627,821,0.37625701155761015,60.953635872332846,897997.0178571428
2002,Baltimore Orioles,60493487,67,67.0,667,773,0.43140822836911186,69.88813299579613,902887.8656716418
2002,Atlanta Braves,93470367,101,101.0,708,565,0.600882963762698,97.34304012955708,925449.1782178218
2002,Toronto Blue Jays,76864333,78,78.0,813,828,0.49111772038011536,79.56107070157869,985440.1666666666
2002,Detroit Tigers,55048000,55,55.0,575,864,0.31788455146348543,51.49729733708464,1000872.7272727273
2002,Los Angeles Dodgers,94850952,92,92.0,713,643,0.5473932589691595,88.67770795300383,1030988.6086956522
2002,Arizona Diamondbacks,102820000,98,98.0,819,674,0.5911161923961553,95.76082316817715,1049183.6734693877
2002,Cleveland Guardians,78909448,74,74.0,739,837,0.44047438379203574,71.35685017430978,1066343.8918918918
2002,Chicago Cubs,75690833,67,67.0,706,759,0.4660068080218977,75.49310289954742,1129713.9253731344
2002,Boston Red Sox,108366060,93,93.0,859,665,0.6194169407632557,100.34554440364742,1165226.4516129033
2002,New York Yankees,125928583,103,103.0,897,697,0.6194239212892917,100.34667524886525,1222607.6019417476
2002,New York Mets,94633593,75,75.0,690,703,0.49133265095650974,79.59588945495457,1261781.24
2002,Texas Rangers,105302124,72,72.0,843,882,0.4777228530481165,77.39110219379488,1462529.5
2003,Tampa Bay Rays,19630000,63,63.0,715,852,0.4167237912061506,67.50925417539639,311587.3015873016
2003,Kansas City Royals,40518000,83,83.0,836,867,0.482126577063681,78.10450548431632,488168.6746987952
2003,Oakland Athletics,50260834,96,96.0,768,643,0.5819115827936142,94.2696764125655,523550.3541666667
2003,Miami Marlins,49050000,91,91.0,751,692,0.5382408511409065,87.19501788482685,539010.989010989
2003,Chicago White Sox,51010000,86,86.0,791,715,0.5477427605529301,88.73432720957469,593139.5348837209
2003,Toronto Blue Jays,51269000,86,86.0,894,826,0.538883464246586,87.29912120794692,596151.1627906977
2003,Milwaukee Brewers,40627000,68,68.0,714,873,0.40443251067118186,65.51806672873145,597455.8823529412
